ADCAIJ-Advances in Distributed Computing and Artificial Intelligence Journal,2255-2863,2255-2863,20,"['automatyka, elektronika i elektrotechnika', 'informatyka techniczna i telekomunikacja', 'informatyka']"
DISTRIBUTED AND PARALLEL DATABASES,0926-8782,1573-7578,70,"['informatyka techniczna i telekomunikacja', 'inżynieria biomedyczna', 'inżynieria mechaniczna', 'nauki o zarządzaniu i jakości', 'informatyka']"
DISTRIBUTED COMPUTING,0178-2770,1432-0452,70,"['automatyka, elektronika i elektrotechnika', 'informatyka techniczna i telekomunikacja', 'informatyka']"
IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,1045-9219,1558-2183,140,"['automatyka, elektronika i elektrotechnika', 'informatyka techniczna i telekomunikacja', 'inżynieria biomedyczna', 'inżynieria mechaniczna', 'nauki o zarządzaniu i jakości', 'informatyka']"
International Journal of Communication Networks and Distributed Systems,1754-3916,1754-3924,20,"['architektura i urbanistyka', 'informatyka techniczna i telekomunikacja', 'nauki o zarządzaniu i jakości', 'informatyka']"
International Journal of Distributed Sensor Networks,1550-1477,1550-1477,70,"['automatyka, elektronika i elektrotechnika', 'informatyka techniczna i telekomunikacja', 'inżynieria biomedyczna', 'inżynieria lądowa i transport', 'inżynieria mechaniczna', 'inżynieria środowiska, górnictwo i energetyka', 'informatyka']"
International Journal of Distributed Systems and Technologies,1947-3532,1947-3540,20,"['automatyka, elektronika i elektrotechnika', 'informatyka techniczna i telekomunikacja', 'informatyka']"
International Journal of Grid and Distributed Computing,2005-4262,2005-4262,20,"['informatyka techniczna i telekomunikacja', 'inżynieria biomedyczna', 'informatyka']"
International Journal of Networked and Distributed Computing,2211-7938,2211-7946,20,"['informatyka techniczna i telekomunikacja', 'inżynieria biomedyczna', 'informatyka']"
International Journal of Parallel Emergent and Distributed Systems,1744-5760,1744-5779,20,"['informatyka techniczna i telekomunikacja', 'informatyka']"
International Review of Research in Open and Distributed Learning,1492-3831,1492-3831,100,['pedagogika']
JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING,0743-7315,1096-0848,100,"['automatyka, elektronika i elektrotechnika', 'informatyka techniczna i telekomunikacja', 'inżynieria biomedyczna', 'informatyka']"
Distributed Generation and Alternative Energy Journal,2156-3306,2156-6550,40,"['automatyka, elektronika i elektrotechnika', 'inżynieria mechaniczna', 'inżynieria środowiska, górnictwo i energetyka', 'nauki chemiczne']"
